keys,en
BTL文件,btl files
新建,add
搜索,search
编辑地图,edit map
编辑地形,edit terrain
截取地图,cutting map
版本转换,version conversion
关于,info
项目,project
错误检查,error check
保存文件,save 
退出,return
帮助,help
设置,setting
编辑器,editor
编辑面板,panel
数据面板,data panel
军队面板,unit panel
主数据,main data
将领,general
无将领,not general
复制军队,copy army
删除军队,delete army
粘贴军队,paste army
添加军队,add army
设施,facility
复制城市,copy city
粘贴城市,paste city
添加城市,add city
删除城市,delete city
地块数据,land data
省规划,province setting
地块归属,Land ownership
省规划模式,province setting mode
添加爆兵,add respawn
粘贴爆兵,paste respawn
城市,city
军队,unit
城市血率,city blood %
添加血率,add city blood %
删除血率,delete city blood %
地块,land
爆兵,unit respawn
国家列表,country list
天气列表,weather list
事件列表,event list
策略列表,strategy list
空中支援,air support
新建单位,add unit
删除单位,delete unit
设置单位,set unit
复制单位,copy unit
起始点,cutting point
结束点,end point
保留军团,save region
保留城市,save city
保留军队,save army
保留陷阱,save mines
保留方案,save project
保留天气,save weather
保留事件,save event
保留援军,save reinforcement
保留空袭,save air strike
保留策略,save strategy
保留空中支援,save air support
提示:,tip:
1.名称不需要添加后綴(.btl),1. File name does not need to be added. (.btl)
2.保留军团仅会保留被截取地块上有的军团(根据省规划计算),2. Keep the legion only retaining some legions on the intercepted plot. (calculated according to the provincial planning)
"3.保留军队,城市等依赖地块的单位仅会保留被截取地块部份上的单位。",3. Retaining units such as armies and cities that depend on land parcels will only retain the units on the intercepted land parcels.
"4.所有拥有依赖国家单位数据的单位(列如空中支援里的军团数据),在保留国家后且还存在这个军团才会保留。",4. All units with data that rely on national units (such as legion data in air support) will be retained after the country is retained and the legion still exists.
空袭,air strike
添加空袭,add air strike
编辑,edit
删除,delete
复制,copy
常规,common
底图大小,Basemap size
窗口设置,Window settings
极限,limit
极低,Low
正常,Normal
窗口模式,window mode
全屏模式,Fullscreen
陷阱,mines
添加陷阱,add mines
删除陷阱,delete mines
国旗,flag
添加国旗,add flag
删除国旗,delete flag
左,left
右,right
一编,Formation 1
二编,Formation 2
三编,Formation 3
四编,Formation 4
无,NO circle
红圈,red circle
绿圈,green circle
自由行动,free move
积极进攻,big attack
保守进攻,small attack
原地固守,stand still
撤退,retreat
无法下海,can not swim
士气上升,morale up
士气下降,morale down
士气双降,morale big down
启动固守,open stand still
显示盾,show shield
下雨,rain
暴雨,big rain
下雪,snow
占城触发,tag city
单位死亡,tag unit die
回合触发,tag round
连带触发,docking
士气大降,morale big down
混乱,confusion
调用对话,calling dialog
引发火灾,cause a fire
军团部队方针转变,changes in the Army's Strategy
阵营变化,Alliance Changes
军团向某方位移动,move to the target
加钱,add money
加工业,add Gear
加科技,add Atomic
搜索军队,search army
搜索将领,search general
Btl版本,BTL version
地图序号,Map serial number
地图截取x,Map screenshot x
地图截取y,Map screenshot y
地图宽,The map is wide
地图高,The map is high
军团总数,Total number of clans
建筑总数,Total number of buildings
军队总数,Total number of troops
方案总数,Total number of scenarios
事件总数,Total number of events
天气总数,Total number of weather
胜利条件,Victory conditions
最小回合,Minimum round
最大回合,Max round
援军总数,Total number of reinforcements
空袭总数,Total number of air strikes
放置单位A,Place unit A
放置单位B,Place Unit B
国家首都,The capital of the country
战役时代,Campaign Era
地块总数,Total number of plots
积攒金钱,Accumulate money
积攒齿轮,Accumulate gears
积攒原子,Accumulate atoms
陷阱总数,Total number of traps
战略总数,Total number of strategies
序号,serial number
国家,country
金钱,money
齿轮,cogs
原子,atom
控制,control
阵营,camp
战败条件,Defeat conditions
兵种加成,Class bonus
税率加成,Tax rate markup
R8,R8
G8,G8
B8,B8
A8,A8
原子弹数量,Number of atomic bombs
氢弹数量,The number of hydrogen bombs
三相弹数量,Number of three-phase bombs
反物质弹数量,Number of antimatter bullets
机动等级,Maneuver level
步枪等级,Rifle class
迷彩等级,Camouflage level
工兵等级,Engineer level
手雷等级,Grenade level
迫击炮等级,Mortar grade
行军等级,Marching Rank
防弹衣等级,Body armor grade
装甲等级,Armor level
主炮等级,Main gun level
车体等级,Body grade
引擎等级,Engine rating
机枪等级,Machine gun level
突袭等级,Raid level
坦克防空等级,Tank anti-aircraft rating
强化车体等级,Strengthened body grade
火炮炮击等级,Artillery shelling level
火箭弹等级,Rocket level
火炮牵引等级,Artillery towing level
火炮装甲等级,Artillery armor level
火炮火力等级,Artillery fire level
火炮火箭等级,Artillery rocket class
伪装等级,Camouflage level
舰艇船体等级,Ship hull class
推进器等级,Thruster grade
舰艇装甲等级,Ship armor level
武器等级,Weapon level
舰艇舰炮等级,Ship gun level
鱼雷等级,Torpedo rating
舰艇扫雷,Ship minesweeper
防空武器等级,Rating of anti-aircraft weapons
现代舰艇等级,Modern ship class
航空燃油等级,Jet fuel grade
航空发动机等级,Aero engine grade
航空炸弹等级,Aerial bomb level
空袭等级,Air Raid Level
轰炸等级,Bombing level
战略轰炸等级,Strategic bombing level
空降兵等级,Airborne Forces Rank
喷气发动机等级,Jet engine rating
机枪堡等级,Machine Gun Fort Level
要塞炮等级,Fortress Cannon Level
海岸炮等级,Coastal Artillery Grade
火箭发射器等级,Rocket launcher level
工事等级,Fortification level
高射机枪等级,Anti-aircraft machine gun class
防空炮等级,Anti-aircraft gun grade
对空导弹等级,Anti-aircraft missile class
雷达等级,Radar level
弹头,warhead
固体火箭发动机等级,Solid rocket motor grade
破防等级,Break Level
核聚变等级,Nuclear fusion grade
科技等级,Tech level
地块类型,Plot type
地块ID,Parcel ID
地块X,Plot X
地块Y,Plot Y
装饰类型A,Decoration type A
装饰AID,Decoration AID
装饰AX,Decorate AX
装饰AY,Decorate AY
装饰类型B,Decoration Type B
装饰BID,Decoration BID
装饰BX,Decorate BX
装饰BY,Decoration BY
水边缘,Water edge
路边缘,The edge of the road
海岸,coast
名称,name
等级,grade
外观,appearance
地标,landmark
奇观,spectacle
奖励类型,Reward type
奖励数量,Number of rewards
仇恨值,Aggro
据点,stronghold
触发事件,Trigger an event
火焰类型,Flame type
防空武器,Anti-aircraft weapons
防空武器范围,Range of anti-aircraft weapons
工厂,factory
科技,technology
补给站,depot
航空,aviation
导弹,missile
核弹,nuclear bomb
empty7,empty7
empty8,empty8
empty9,empty9
方案编号,Scheme number
终结事件,Terminate the event
目标地块,Target plots
天气类型,Weather type
事件ID,Event ID
关联事件,Correlation events
触发条件,Trigger conditions
事件类型,The type of event
触发军团,Trigger the clan
影响军团,Affects the Legion
目标值,target value
Zero,Zero
对话代码,Conversation code
默认结束段,The default end segment
勋章1,Medal 1
勋章2,Medal 2
勋章3,Medal 3
所属国家,Country
爆兵回合,Explosive round
胸章1,Badge 1
胸章2,Badge 2
胸章3,Badge 3
精英兵种,Elite class
Id,Id
军团序号,Clan serial number
方向,direction
移动力,Movement force
建造回合,Build rounds
兵种经验,Class experience
血量加成,HP bonus
当前血量,Current HP
血量上限,Max HP
胸章一,Badge one
胸章二,Badge II
胸章三,Badge III
移动目标,Move the target
empty2,empty2
行为方案,Behavioral scenarios
改变回合,Change the round
士气,morale
士气持续回合,Morale lasts for a turn
盾牌标志,Shield emblem
固守最短距离,Stick to the shortest distance
坐标,coordinate
兵种,Arms
编制,weave
运输船,Transport
方针,policy
empty1,empty1
军衔,military rank
爵位,title
技能等级1,Skill Level 1
技能等级2,Skill Level 2
技能等级3,Skill Level 3
技能等级4,Skill level 4
技能等级5,Skill level 5
确定选择,confirm the selection
